date,kp_0h,kp_3h,kp_6h,kp_9h,kp_12h,kp_15h,kp_18h,kp_21h
14/11/1999,2,2,4,3,1,2,1,3
15/11/1999,2,0,2,2,2,2,1,0
16/11/1999,1,1,2,4,4,3,3,3
17/11/1999,2,2,2,2,3,3,3,2
18/11/1999,2,2,3,3,3,3,3,3
19/11/1999,3,3,3,3,3,2,3,3
20/11/1999,3,3,2,2,2,2,2,2
21/11/1999,2,2,3,2,1,3,3,3
22/11/1999,3,2,2,3,4,2,1,1
23/11/1999,1,3,4,4,3,3,3,4
24/11/1999,2,3,4,5,3,3,3,1
25/11/1999,1,2,3,6,4,3,3,2
26/11/1999,1,0,2,2,2,1,1,1
27/11/1999,0,0,1,1,1,2,1,1
28/11/1999,2,2,3,2,1,3,2,2
29/11/1999,2,0,1,1,2,1,2,1
30/11/1999,2,2,2,3,3,2,2,2
01/12/1999,1,1,0,1,1,1,2,1
02/12/1999,2,0,0,1,1,1,2,2
03/12/1999,3,2,2,3,3,4,3,2
04/12/1999,4,3,4,6,5,4,3,3
05/12/1999,4,4,4,4,3,3,3,2
06/12/1999,2,4,4,4,4,3,3,2
07/12/1999,3,2,4,3,2,3,3,3
08/12/1999,3,2,4,3,2,3,3,3
09/12/1999,3,4,3,3,2,3,3,3
10/12/1999,2,3,2,2,2,2,3,2
11/12/1999,1,2,3,2,3,2,1,1
12/12/1999,1,3,1,3,2,3,3,2
13/12/1999,3,4,5,5,5,4,2,1
14/12/1999,1,0,0,0,2,1,1,1
15/12/1999,0,0,0,0,1,1,1,3
16/12/1999,1,1,2,1,1,2,2,2
17/12/1999,1,2,1,1,2,2,2,1
18/12/1999,2,0,1,1,1,2,2,2
19/12/1999,1,0,0,2,2,2,1,1
20/12/1999,0,0,1,1,0,2,1,1
21/12/1999,0,0,1,1,1,1,0,1
22/12/1999,0,0,0,0,1,1,1,1
23/12/1999,0,0,0,1,2,2,2,1
24/12/1999,2,3,3,4,2,2,1,2
25/12/1999,1,2,4,2,4,3,1,2
26/12/1999,1,0,0,0,0,1,1,1
27/12/1999,3,2,2,2,0,1,2,0
28/12/1999,0,3,1,1,2,2,2,2
29/12/1999,3,2,1,0,1,2,2,2
30/12/1999,2,0,2,2,2,2,3,3
31/12/1999,4,4,4,4,4,4,4,5
01/01/2000,4,5,4,4,5,3,3,2
02/01/2000,3,3,3,4,3,3,3,3
03/01/2000,4,3,3,3,2,2,3,2
